Source,ID_Type,ID,Title,Abstract,Authors,Journal,Year,Volume,Issue,Pages,URL,Publication_Type,Study_Type,MeSH_Terms,Keywords,Open_Access,PMC_Link,PDF_Link,Country,Language,Date_Online,Date_Publication,Citations_Scholar,Funding,Conflict_Interest,DOI
Google Scholar,DOI,10.1016/j.ijnss.2015.07.001,Psychological state and needs of family member caregivers for victims of traumatic brain injury: A cross-sectional descriptive study,"… severity of traumatic brain injury on the psychological state and demands of family caregivers. 
Further, … Many families first experience denial of the injury's consequences for the affected …","W Liu, J Zhu, J Liu, Q Guo - International Journal of Nursing Sciences, 2015",Elsevier,2015,,,,https://www.sciencedirect.com/science/article/pii/S2352013215000630,,,,,Likely (PDF found),,https://www.sciencedirect.com/science/article/pii/S2352013215000630,,,,,,,,10.1016/j.ijnss.2015.07.001
Google Scholar,DOI,10.1097/jnn.0b013e318234ea0b,Support for traumatic brain injury patients' family members in neurosurgical nursing: a systematic review,"… Traumatic brain injury (TBI) is a leading cause of death and disability around the globe. In 
… Men under the age of 45 years experience twice as many TBIs as do women and have a …","K Coco, K Tossavainen, JE Jääskeläinen… - Journal of …, 2011",journals.lww.com,2011,,,,https://journals.lww.com/jnnonline/fulltext/2011/12000/support_for_traumatic_brain_injury_patients_.9.aspx,,,,,Likely (PDF found),,https://www.academia.edu/download/46216552/Support_for_Traumatic_Brain_Injury_Patie20160603-3952-1a5coa2.pdf,,,,,,,,10.1097/jnn.0b013e318234ea0b
Google Scholar,URL,https://aacnjournals.org/ccnonline/article-abstract/23/4/63/870,Needs of family members of patients with severe traumatic brain injury: Implications for evidence-based practice,"… traumatic brain injury are in … families of patients with severe traumatic brain injury may be 
overwhelmed by the patients’ critical, constantly changing status. While the families experience …","AE Bond, CRL Draeger, B Mandleco… - Critical care …, 2003",aacnjournals.org,,,,,https://aacnjournals.org/ccnonline/article-abstract/23/4/63/870,,,,,Likely (PDF found),,https://aacn-az.silverchair.com/ccnonline/article-pdf/23/4/63/110719/63.pdf,,,,,,,,
Google Scholar,DOI,10.1007/s12028-016-0372-5,Post-traumatic stress disorder and complicated grief are common in caregivers of neuro-ICU patients,"… of reported satisfaction and positive experience with decision … The experience of ICU care 
clearly impacts families and … grief and PTSD in the family members of neuro-ICU patients. It is …","SA Trevick, AS Lord - Neurocritical Care, 2017",Springer,2017,,,,https://link.springer.com/article/10.1007/s12028-016-0372-5,,,,,,,,,,,,57,,,10.1007/s12028-016-0372-5
Google Scholar,DOI,10.1016/j.ijnurstu.2021.104043,The experience of families following traumatic brain injury in adult populations: A meta-synthesis of narrative structures,"… for the terms ‘traumatic brain injury’, ‘family’ and ‘qualitative’. … of family members of adults 
with traumatic brain injury and had … , child or adolescent traumatic brain injury or disorders of …","CJ Whiffin, F Gracey, C Ellis-Hill - International journal of nursing studies, 2021",Elsevier,2021,,,,https://www.sciencedirect.com/science/article/pii/S0020748921001905,,,,,Likely (PDF found),,https://www.sciencedirect.com/science/article/pii/S0020748921001905,,,,,,,,10.1016/j.ijnurstu.2021.104043
Google Scholar,DOI,10.1191/026921500666833742,An evaluation of neurobehavioural problems as perceived by family members and levels of family stress 1–3 years following traumatic brain injury in Japan,"… Objective: To ascertain the proportion of patients with traumatic brain injury (TBI) admitted 
to a Japanese district hospital and to evaluate the levels of stress and anxiety in families living …","Y Watanabe, A Shiel, T Asami, K Taki… - Clinical …, 2000",journals.sagepub.com,2000,,,,https://journals.sagepub.com/doi/abs/10.1191/026921500666833742,,,,,,,,,,,,54,,,10.1191/026921500666833742
Google Scholar,DOI,10.1016/j.ijnurstu.2020.103846,The effect of family-centered sensory and affective stimulation on comatose patients with traumatic brain injury: a systematic review and meta-analysis,"… Outcome measures of the meta-analysis were the Glasgow Coma Scale scores, the Western 
Neuro Sensory Stimulation Profile scores, awakening time, and satisfaction rate. To explore …","J Zuo, Y Tao, M Liu, L Feng, Y Yang, L Liao - International Journal of …, 2021",Elsevier,2021,,,,https://www.sciencedirect.com/science/article/pii/S0020748920303370,,,,,,,,,,,,50,,,10.1016/j.ijnurstu.2020.103846
Google Scholar,DOI,10.1375/brim.11.3.281,Caregivers of adults with traumatic brain injury: The emotional impact of transition from hospital to home,"… There is considerable evidence to suggest that caregivers of individuals with an ABI 
experience negative psychological outcomes that are inherently related to their caregiving role. …","B Turner, J Fleming, J Parry, M Vromans… - Brain …, 2010",cambridge.org,2010,,,,https://www.cambridge.org/core/journals/brain-impairment/article/caregivers-of-adults-with-traumatic-brain-injury-the-emotional-impact-of-transition-from-hospital-to-home/DCB9306B92150A401FE69BA310E8E10D,,,,,Likely (PDF found),,https://research-repository.griffith.edu.au/bitstreams/4a154551-d0e0-5530-9019-43c5c2368cb5/download,,,,,,,,10.1375/brim.11.3.281
Google Scholar,DOI,10.1080/09638288.2019.1672109,"A retrospective study on the acceptability, feasibility, and effectiveness of LoveYourBrain Yoga for people with traumatic brain injury and caregivers","… People were eligible if they were a traumatic brain injury … We analyzed attendance, 
satisfaction, and mean differences in … traumatic brain injury and their caregivers often experience …","KZ Donnelly, K Baker, R Pierce… - Disability and …, 2021",Taylor & Francis,2021,,,,https://www.tandfonline.com/doi/abs/10.1080/09638288.2019.1672109,,,,,Likely (PDF found),,https://www.loveyourbrain.com/s/AretrospectivestudyontheacceptabilityfeasibilityandeffectivenessofLoveYourBrainYogaforpeoplewithtrau.pdf,,,,,,,,10.1080/09638288.2019.1672109
Google Scholar,DOI,10.1016/j.apmr.2014.08.021,Health-related quality of life in caregivers of individuals with traumatic brain injury: development of a conceptual model,"… caregiver-specific anxiety/concerns, caregiver strain, and feelings of being trapped. 
Caregiver-specific anxiety/concerns were characterized by feelings of anxiety that were directly …","NE Carlozzi, AL Kratz, AM Sander… - Archives of physical …, 2015",Elsevier,2015,,,,https://www.sciencedirect.com/science/article/pii/S0003999314010351,,,,,Likely (PDF found),,https://pmc.ncbi.nlm.nih.gov/articles/PMC4276526/pdf/nihms-638633.pdf,,,,,,,,10.1016/j.apmr.2014.08.021
