Source,ID_Type,ID,Title,Abstract,Authors,Journal,Year,Volume,Issue,Pages,URL,Publication_Type,Study_Type,MeSH_Terms,Keywords,Open_Access,PMC_Link,PDF_Link,Country,Language,Date_Online,Date_Publication,Citations_Scholar,Funding,Conflict_Interest,DOI,Included,Screening_Reason
PubMed,PMID/DOI,41422040,Diaphragmatic pacing system from the point of view of the patients: 14 years of clinical experience and follow-up.,"High cervical spinal diseases (C1-C4), resulting in paralysis of the respiratory muscles, makes the person dependent on invasive mechanical ventilation (IMV) for life support. Although effective from a ventilatory point of view, IMV is associated with increased morbidity and mortality; ventilated patients have higher rates of respiratory complications, a significant reduction in life expectancy, and above all, a serious psychological repercussion with estrangement from the world. Diaphragmatic pacing system (DPS) is a well-established technique capable of restoring paraphysiological ventilation. A narrative review of the case history and their follow-up of 13 patients dependent on life support ventilation who have been implanted since 2011 in the Neurocritical Care Unit of the Niguarda Hospital, Milan. Diaphragmatic pacing system was successful implanted in all the patients: of them 9 were affected by traumatic cervical SCI, 2 by Arnold Chiari sequelae, 1 due to a spontaneous ischemia. One patient with Pompe disease was included although his pathophysiology primarly affects the diaphragm instead the high cervical spine tract. During the 14 years follow-up, 92% of patients (12/13) used DPS and in 42 % of them (5/12 patients) we were able to be disconnected from IMV for at least 12 h. One of the patients (7.7%) was completely weaned from IMV and the tracheostomy was finally removed. One patient needed hospitalization for a respiratory complication. All the patients perceived their quality of life to be excellent or good. The long-term follow-up of 13 patients with DPS suggests that the implant could be a potential long-term alternative to IMV, particularly in terms of quality of life. The diaphragmatic stimulator protects from IMV associated respiratory complications, therefore reducing hospitalization. Allowing spontaneous breathing for a variable number of hours enables the caregiver to support the individual more effectively, facilitating their reintegration into daily social and work activities. Diaphragmatic pacing system does not eliminate the disability but allows for more independent years of life with a greater possibility of social reintegration.",Stagni Giuliana; Curto Francesco; Giacomini Matteo; Pozzi Federico; Chieregato Arturo,"Journal of anesthesia, analgesia and critical care",2025.0,,,,https://pubmed.ncbi.nlm.nih.gov/41422040/,Journal Article,,,,,,,,eng,,,,,,,False,"The paper focuses on patients' experiences with diaphragmatic pacing systems, not family members, relatives, or caregivers. The subject (patients) does not meet the inclusion criteria which require the study to focus on family perspectives."
PubMed,PMID/DOI,41357501,Application of sugar-free cola solution based on the ICOCFAS score in oral care of non-artificial airway patients with severe neurological conditions.,"This study aimed to explore the effect of using a coke solution based on the Intensive Care Oral Care Frequency Assessment Scale (ICOCFAS) score in oral care of patients with severe neurological conditions without an artificial airway. A total of 80 patients with severe non-artificial airways admitted to the neurological intensive care unit of our hospital from January 2023 to January 2024 were enrolled and divided into a control group (40 cases) and an observation group (40 cases). The control group was given routine oral care (0.9% saline gauze wipe). The observation group received oral care with gauze soaked in sugar-free cola solution and compared the family satisfaction of patients with complications of the modified Beck oral score between the two groups after implementing the program. After the implementation of the program, the modified Beck oral score of patients in the observation group was lower than that of the control group on days 3, 5, and 7, with statistical significance (<i>p</i> < 0.05). The complication rate of the observation group was lower than that of the control group, with statistical significance (<i>p</i> < 0.05). The satisfaction degree of patients' families in the observation group was higher than that of the control group, with statistical significance (<i>p</i> < 0.05). The application of sugar-free cola solution based on the ICOCFAS score in oral care of patients with severe neurological non-artificial airway has a good effect. It can significantly improve the oral health status of these patients, with a low complication rate, high safety, and high satisfaction of patients' families, making it worthy of promotion and application.",Wang Qingmei; Fan Yuanyuan; Chen Mei; Chen Ping,Frontiers in medicine,2025.0,12,,1684863,https://pubmed.ncbi.nlm.nih.gov/41357501/,Journal Article,,,,,,,,eng,,,,,,,True,"The study involves adult patients in a Neuro-ICU setting with severe neurological conditions, examines family satisfaction (focus), uses a quantitative design, and is in English. It addresses family perspective and psychological impact (satisfaction) while meeting population and study type criteria."
PubMed,PMID/DOI,40908419,"Neuropalliative Care in the Emergency Department: Three Roles, One Goal.","Over the last decade, there has been an increased focus on incorporating palliative care principles into the practice of neurocritical care and emergency medicine (EM). In this article, we describe three different roles that EM clinicians can fill as they initiate the provision of primary neuropalliative care to neurocritically ill patients: the stage setter, the spokesperson, and the screener. As the stage setter, EM clinicians start to build trust with the family by ""breaking bad news""; encouraging them to consider the patient's values, preferences, functional baseline, and directives; and providing support to the family during this emotional time as they hand them over to the admitting team who will continue this conversation. As the spokesperson, EM clinicians are involved in early treatment decisions, including whether the patient is admitted to the acute care service or the intensive care unit or transferred to a tertiary care facility, with the goal of preventing both the overuse and underuse of life-sustaining treatment. Lastly, as the screener, EM clinicians have a role to ensure that patients with chronic neurological diseases and patients with a medical history that puts them at high-risk of developing a neurological emergency have goals-of-care conversations and have acceptable control of their daily symptom burden. Further investigation is needed before interventions targeting the practice of neuropalliative care in the emergency department can be developed.",Hendershot Kristopher A; Ouchi Kei,Neurocritical care,2025.0,,,,https://pubmed.ncbi.nlm.nih.gov/40908419/,Journal Article; Review,,,,,,,,eng,,,,,,,True,"The paper focuses on neuropalliative care for neurocritically ill adults, involving family members through roles like 'stage setter' and 'spokesperson'. It addresses psychological aspects (emotional support, values, directives) and includes EM clinicians in decision-making, meeting inclusion criteria for population, focus, and study type."
PubMed,PMID/DOI,40770584,Role of Music Therapy in Neurocritical Care for Patients with Acute Brain Injury with Disorders of Consciousness: A Narrative Review and Proposed Framework for Practice.,"Music therapy (MT) holds promise as a treatment for patients with severe acute brain injury (SABI) with disorders of consciousness (DoC) admitted to critical care units. MT leverages the intrinsic properties of music to engage patients and their families, promoting recovery through neurological, psychological, and physiological mechanisms. Although MT is routinely practiced in intensive care and rehabilitation settings, its applications in a neurocritical care context during acute DoC treatment and recovery are underexplored. Further, the subjective nature of music, music preferences, and the variability in patient responses to music-particularly in patients with SABI and DoC-pose unique challenges for implementing a one-size-fits-all approach. Through our institution's experience with MT and a review of previously published evidence, this article illustrates the application of our MT approach as a noninvasive, holistic, and individualized intervention. A case vignette explores MT in the clinical care of a patient with SABI admitted to the neurocritical care unit across a 9-week period, demonstrating the potential of MT to enhance quality of care and recovery outcomes over time. A family impact statement and emerging practice framework are also included to further elucidate the ways in which MT may enhance quality of care and patient recovery in neurocritical care settings.",Devlin Kerry; Ansari Junaid; Mathur Rohan; Shah Vishank; Pantelyat Alexander; Suarez Jose I,Neurocritical care,2025.0,43,3,1078-1090,https://pubmed.ncbi.nlm.nih.gov/40770584/,Journal Article; Review,,Humans; Brain Injuries; Consciousness Disorders; Critical Care; Music Therapy,,,,,,eng,,,,,,,True,"The paper focuses on adult patients with acute brain injury (SABI) in neurocritical care, includes family perspectives, addresses psychological impact through music therapy, and is written in English. It meets all inclusion criteria and avoids excluded categories."
PubMed,PMID/DOI,40752304,Spinal neurosurgery: Trends in female authorship contribution over 5-Year publication history.,"In the last few years, more efforts have been made to increase gender equity in medical specialties. Nevertheless, spinal neurosurgery continues to be one of the most male-dominated subspecialties in neurosurgery. This bibliometric analysis sought to explore the representation of female authors in major neurosurgical publications between September 2017 and August 2022, with a focus on first and last authorship roles across journals and countries. The paper analyzed 3171 unique publications within a framework of 93 high-impact neurosurgery-related journals. Results showed that female authors were 14,25 % of first authors and 7,88 % of last authors, and that only 2,11 % of articles had both female first and last authors. Country of affiliation and the journal of publication significantly influenced the author's gender representations, with Scandinavian states and certain journals, like Neurocritical Care, showing relatively high percentages of female authorship. Even if there has been minor progress over the recent past, disparities nowadays persist, potentially limiting diversity in perspectives and advancements in this field. These disparities underline the presence and the influence of systemic and cultural factors impeding gender equity, and underscoring the critical need for proactive measures to foster it, including mentorship programs, institutional support, and policies for balanced opportunities. The COVID-19 pandemic amplified inequities in this field, disproportionately impacting female academics due to increased domestic responsibilities without the corresponding implementation of support systems. The significant role of mentorship in improving female representation was also highlighted by this analysis: our data indicated higher collaboration rates between female first and last authors in the field of spinal neurosurgery. To address these challenges, efforts must be made starting during residency, with the aim of targeting systemic barriers and cultural biases. The implementation of inclusive policies, like on-site childcare programs, and fostering international collaboration, might help to reduce these disparities and to ensure that diversity drives innovation in spinal neurosurgery. Such an approach is essential for addressing inequity, which is not merely a matter of fairness but is central to advancing the field. This would ensure that only talent and hard work are what determine success in spinal neurosurgery, which is imperative for the progress of the speciality, enabling diverse perspectives to shape the future of patient care, research, and academic leadership.",Campanaro Giovanni; Centini Francesca Romana; Sicca Cecilia; Davico Jazmin; Musella Emanuele; Chebaro Kamel; Totis Francesca; Cannizzaro Delia,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2025.0,140,,111523,https://pubmed.ncbi.nlm.nih.gov/40752304/,Journal Article; Review,,Humans; Authorship; Female; Bibliometrics; Neurosurgery; Male; Gender Equity,,,,,,eng,,,,,,,False,"The paper focuses on gender representation of authors in spinal neurosurgery publications, not on family members' experiences, psychological impacts, or care-related outcomes. It does not meet the inclusion criteria for population (adult TBI/Stroke/SAH patients) or focus (family perspectives)."
PubMed,PMID/DOI,40481284,Characterizing Stressors and Coping Strategies Among Caregivers of Patients with Severe Acute Brain Injury by Level of Distress.,"Family caregivers of patients with severe acute brain injury (SABI) who commit to tracheostomy and/or percutaneous endoscopic/surgical gastrostomy for the patient often develop chronic emotional distress. To inform future interventions to mitigate this distress, we characterized the stressors and coping strategies of caregivers of patients with SABI with varying levels of emotional distress during the acute and postacute stages of treatment. We conducted semistructured interviews with family caregivers of patients with SABI around the time of neurological intensive care unit discharge (T1) and at 2-month follow-up (T2). All caregivers included in this current study completed the Hospital Anxiety and Depression Scale at T1 and/or T2. We then stratified transcripts by caregiver distress level, characterizing caregivers who scored > 11 on at least one Hospital Anxiety and Depression Scale subscale as ""high distress"" and ≤ 11 as ""low distress."" We conducted deductive, conceptual content analysis to compare perceived stressors and coping strategies employed at both time points. Caregivers in both strata reported many similar stressors at each time point, including ongoing uncertainty. However, there were also differences in stressors by level of distress and time point of assessment. At T1, high-distress caregivers reported pronounced stress related to navigating the health care system and communicating with providers, staff, and the patient. At T2, high-distress caregivers noted heightened difficulty with transitioning to long-term caregiving, co-occurring complex emotions, and communication with family and friends. Conversely, low-distress caregivers focused on challenges with team-based medical decision making at T2. Clear differences in coping strategies also emerged, such that high-distress caregivers relied primarily on avoidance at both points, whereas low-distress caregivers incorporated more problem-solving and self-care strategies. Psychosocial interventions for caregivers of patients with SABI are needed to reduce emotional distress. Skills should be applied to relevant topics based on time since neurological intensive care unit discharge and distress level. Skills should focus on reducing avoidance, promoting active coping, and targeting the perceived stressors specific to high-distress versus low-distress caregivers revealed here.",Meurer Katherine J; Presciutti Alexander M; Bannon Sarah M; Kubota Rina; Baskaran Nithyashri; Kim Jisoo; Zhang Qiang; Reichman Mira; Fishbein Nathan S; Lichstein Kaitlyn; Motta Melissa; Muehlschlegel Susanne; Reznik Michael E; Jaffa Matthew N; Creutzfeldt Claire J; Fehnel Corey R; Tomlinson Amanda D; Williamson Craig A; Vranceanu Ana-Maria; Hwang David Y,Neurocritical care,2025.0,,,,https://pubmed.ncbi.nlm.nih.gov/40481284/,Journal Article,,,,,,,,eng,,,,,,,True,"The paper focuses on caregivers of patients with severe acute brain injury (SABI), addressing stressors, coping strategies, and psychological impacts (anxiety, depression). The population is adults, the study type is qualitative, and the language is English. It meets all inclusion criteria and excludes excluded categories."
PubMed,PMID/DOI,39735015,Integrating Family Involvement in Neuro-Intensive Care: A Pathway to Enhanced Family Satisfaction in Traumatic Brain Injury (TBI) Management.,"Introduction Traumatic brain injury (TBI) is a major health concern due to its poor clinical and functional outcome and its impact on family homeostasis. Often, the stressed and anxious family is not involved in the care process until the rehabilitation phase. This study aimed to evaluate the integration of family involvement in the neuro-intensive care of TBI patients on family satisfaction. Materials and methods This pre-test-post-test quasi-experimental study involved 70 families of moderate and severe TBI patients, divided equally into experimental and control groups. A guideline, Family Involvement in the Care of TBI (FIC-TBI), was developed. The key elements of this guideline were structured communication, participation in basic care, and shared decision-making. FIC-TBI was integrated into the critical care management of TBI. The impact of FIC-TBI was evaluated using the Family Satisfaction in the ICU Care Unit 24R (FS-ICU 24R) tool. Results Data analysis was done through paired and unpaired t-tests as well as analysis of covariance (ANCOVA). The results showed statistically significant differences in the post-test family satisfaction scores between the experimental and control groups. The adjusted mean satisfaction scores of components such as satisfaction with care (F(1, N-2)=984.63; p<0.001), satisfaction with decision-making (F(1, N-2)=1489.63; p<0.001), and overall satisfaction (F(1, N-2)=712.87; p<0.001) were higher in the experimental group. The study found a significant correlation between family satisfaction levels and variables such as gender and education. Conclusions This study was done with the objective to evaluate the impact of integration of family involvement into the neuro-intensive care of TBI on family satisfaction. The findings demonstrated that the FIC-TBI guideline improved satisfaction across multiple dimensions, such as care, communication, decision-making, and overall experience. The study also found a significant correlation between family satisfaction and gender and education. This study emphasized the importance of early family involvement in critical care settings as a vital component of holistic TBI management.",Mathew Sindu K; Aruna S; Vasudevan Ramesh C; Visweswaran Vivek; Arjunan Porkodi; Panachingal Binuja; Jyothi Mibi,Cureus,2024.0,16,11,e74748,https://pubmed.ncbi.nlm.nih.gov/39735015/,Journal Article,,,,,,,,eng,,,,,,,True,"The study focuses on family involvement in Neuro-Intensive Care for TBI patients, addressing family satisfaction and psychological impact. The population is adult TBI patients, the focus includes family experiences, and the study type is a quasi-experimental design (mixed methods). All inclusion criteria are met."
PubMed,PMID/DOI,39643583,Development of web- and mobile-based shared decision-making tools in the neurological intensive care unit.,"In the neurological intensive care unit (neuroICU), patients with severe acute brain injury (SABI) are rendered unable to make their own healthcare decisions. The responsibility of making life-or-death decisions, such as goals of care, is carried by surrogate decision-makers, usually families. In addition to the burden of decision-making, the emotional burden on families is further compounded by prognostication uncertainty, time-pressure for decision-making, and difficulties in understanding and interpreting the patient's values and preferences, ultimately resulting in potential clinician-family communication breakdown. Despite these challenges, there is currently no guidance on how to best approach these difficult decisions. Shared decision-making (SDM) has emerged as the recommended approach to improve clinician-family communication, empowering surrogates to take an active role in decision-making by providing a structured framework for information exchange, deliberation, and treatment decisions. Decision aids (DAs) facilitate SDM by offering balanced, accessible, unbiased information and helping surrogates decide according to patients' values. This review highlights the potential advantage of digital over paper-based DAs, including improved accessibility, interactivity, and personalization, and the integration of emerging technologies to enhance DA effectiveness. Additionally, we review the current digital DAs developed for the neuroICU setting.",Liu Winnie L; Zhang Lidan; Djamasbi Soussan; Tulu Bengisu; Muehlschlegel Susanne,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2025.0,22,1,e00503,https://pubmed.ncbi.nlm.nih.gov/39643583/,Journal Article; Review,,"Humans; Intensive Care Units; Decision Making, Shared; Internet; Mobile Applications; Critical Care; Decision Support Techniques; Neurology",,,,,,eng,,,,,,,True,"The paper focuses on family decision-making in neuroICU settings, addressing psychological burden and communication challenges. It includes adult patients with severe brain injury and examines family perspectives through shared decision-making tools, meeting all inclusion criteria."
PubMed,PMID/DOI,39433705,Caring for Coma after Severe Brain Injury: Clinical Practices and Challenges to Improve Outcomes: An Initiative by the Curing Coma Campaign.,"Severe brain injury can result in disorders of consciousness (DoC), including coma, vegetative state/unresponsive wakefulness syndrome, and minimally conscious state. Improved emergency and trauma medicine response, in addition to expanding efforts to prevent premature withdrawal of life-sustaining treatment, has led to an increased number of patients with prolonged DoC. High-quality bedside care of patients with DoC is key to improving long-term functional outcomes. However, there is a paucity of DoC-specific evidence guiding clinicians on efficacious bedside care that can promote medical stability and recovery of consciousness. This Viewpoint describes the state of current DoC bedside care and identifies knowledge and practice gaps related to patient care with DoC collated by the Care of the Patient in Coma scientific workgroup as part of the Neurocritical Care Society's Curing Coma Campaign. The gap analysis identified and organized domains of bedside care that could affect patient outcomes: clinical expertise, assessment and monitoring, timing of intervention, technology, family engagement, cultural considerations, systems of care, and transition to the post-acute continuum. Finally, this Viewpoint recommends future research and education initiatives to address and improve the care of patients with DoC.",Murtaugh Brooke; Olson DaiWai M; Badjatia Neeraj; Lewis Ariane; Aiyagari Venkatesh; Sharma Kartavya; Creutzfeldt Claire J; Falcone Guido J; Shapiro-Rosenbaum Amy; Zink Elizabeth K; Suarez Jose I; Silva Gisele Sampaio,Neurocritical care,2025.0,42,2,325-333,https://pubmed.ncbi.nlm.nih.gov/39433705/,Editorial,,Humans; Brain Injuries; Coma; Critical Care,,,,,,eng,,,,,,,True,"The paper focuses on care for patients with severe brain injury (coma) and includes family engagement as a key domain, meeting inclusion criteria for population, focus, and study type. It addresses psychological impact and caregiver perspectives."
PubMed,PMID/DOI,39371233,A Nationwide Survey of Critical Care Training in India.,"The 3-year training in the critical care medicine (CCM) specialty is a relatively new recognized program in India. This program has been run at a few premier institutes across India over the past few years. The present study aimed to get a critical appraisal of the 3-year training program in CCM from the initial 50 trained Indian intensivists, regarding their research, publications, and self-perceived clinical training adequacy in the various areas of the CCM. This was a prospective cross-sectional study. The list of participants (initial trainees who completed the course between 2015-2021) was compiled by contacting the respective teachers of the institutes that were permitted and recognized by the competent national authority to run a 3-year training course in CCM in India. A questionnaire was developed with questions related to demographic details; self-reports about clinical training program adequacy measured on the Likert scale; and their research area, publications, and current job profiles. After receipt of institutional ethics committee approval, responses from the participants were collected through Google Forms, which were sent through e-mails. Responses were received from 51 of 62 participants. Among the 51, the majority were male (43; 84%), and their basic training was in anesthesiology (88%). All of them had conducted at least one mandatory research project; three-fourths were prospective observational. The main areas of research projects were cardiovascular (20%), followed by respiratory (18%), sepsis and infection (18%), and renal (14%). Only less than one-third reported being published in any PubMed-indexed journal, with most as a first authorship (93%). One-fourth to one-third of participants reported inadequate training in areas such as extracorporeal therapies and financial and administrative managerial skills in critical care, followed by cardiac and neurocritical care and research methodology. Eight (16%) underwent further training, including 6 from outside India. The present study critically evaluated the 3-year training in the CCM from the perspective of trainees who completed the program in India; highlighting areas of inadequate training such as extracorporeal therapies and financial and administrative managerial skills. Participants reported concern about the training and allocated time for their research and getting it published in an indexed journal.",Baidya Dalim Kumar; Ravikumar Rajathadri Hosur; Gurjar Mohan; Kothekar Amol Trimbakrao; Krishna Bhuvana,ATS scholar,2024.0,5,3,408-419,https://pubmed.ncbi.nlm.nih.gov/39371233/,Journal Article,,,,,,,,eng,,,,,,,False,"The paper focuses on critical care training evaluation for intensivists, not family members' experiences related to psychological outcomes of patients with severe brain injuries. It does not address family perspectives, anxiety, depression, or other relevant themes."
